line;code;canonical name;parent;other names
278;ko-nw;Northwestern Korean;
279;ps-nwe;Northwestern Pashto;
280;sc-nuo;Nuorese;Logudorese;
281;xme-nus;Nushabadi;
282;odr-prk;Odri;
283;akk-old;Old Akkadian;
284;arc-old;Old Aramaic;
285;akk-oas;Old Assyrian;
286;ae-old;Old Avestan;
287;awa-old;Old Awadhi;
288;xme-azr;Old Azari;
289;akk-obb;Old Babylonian;
290;zle-obe;Old Belarusian;
291;bra-old;Old Braj;
292;cop-old;Old Coptic;
293;non-oen;Old East Norse;
294;egy-old;Old Egyptian;
295;elx-old;Old Elamite;
296;non-ogt;Old Gutnish;
297;OIr.,ira-old;Old Iranian;Iranian;
298;it-oit,roa-oit;Old Italian;
299;fay-kzo;Old Kazeruni;
300;kho-old;Old Khotanese;
301;otk-kir;Old Kirghiz;
302;kok-old;Old Konkani;
303;itc-ola;Old Latin;
304;ms-old;Old Malay;
305;iro-omo;Old Mohawk;
306;ONF.,Old Northern French,fro-nor;Old Northern French;
307;iro-oon;Old Onondaga;
308;oc-pro-old;Old Provençal;
309;fay-sho;Old Shirazi;
310;tl-old;Old Tagalog;
311;zle-ouk;Old Ukrainian;
312;iro-ohu;Old Wendat;
313;non-own;Old West Norse;
314;hsn-old;Old Xiang;
315;loc-opu;Opuntian Locrian;
316;mn-ord;Ordos Mongolian;
317;orc;Orma;
318;sgh-oro;Oroshori;Bartangi-Oroshori;
319;cop-oxy;Oxyrhynchite Coptic;
320;loc-ozo;Ozolian Locrian;
321;inc-psi;Paisaci Prakrit;
322;pfl;Palatine German;
323;arc-pal;Palmyrene Aramaic;
324;grc-pam;Pamphylian Greek;
325;el-pap;Paphian Greek;
326;fay-pap;Papuni;
327;ps-pes;Peshawari;Northeastern Pashto;
328;nan-ph;Philippine Hokkien;Jinjiang Hokkien;
329;fro-pic;Picard Old French;
330;zhx-pin;Pinghua;
331;prc-prk;Pracya;
332;okz-P;Pre-Angkorian Old Khmer;
333;pregrc,qfa-sub-grc;Pre-Greek;substrate;
334;bat-pro;Proto-Baltic;
335;urj-fpr-pro;Proto-Finno-Permic;
336;fiu-pro;Proto-Finno-Ugric;
337;cop-ply;Proto-Lycopolitan Coptic;
338;trk-ogz-pro;Proto-Oghuz;
339;tbq-pro;Proto-Tibeto-Burman;
340;oc-pro,prv;Provençal;
341;es-PR;Puerto Rican Spanish;
342;xme-qal;Qalhari;
343;xme-qoh;Qohrudi;
344;nan-qz;Quanzhou Hokkien;Hokkien;
345;RL.,Renaissance Latin,la-ren;Renaissance Latin;
346;es-AR;Rioplatense Spanish;
347;sgh-ros;Roshani;Roshani-Khufi;
348;sgh-rsx;Roshani-Khufi;
349;rdb-rud;Rudbari;
350;sbr-prk;Sabari;
351;tks-sag;Sagzabadi;
352;cop-sah;Sahidic Coptic;
353;ht-sdm;Saint Dominican Creole French;
354;skr-prk;Sakari;
355;fay-sam;Samghani;
356;osc-sam;Samnite;
