line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
221;alh;Alawa;Alawa language;;aus-gun;Gunwinyguan;;;;Latn;;
222;ali;Amaimon;Amaimon language;;ngf-mad;Madang;;;;Latn;;
223;alj;Alangan;Alangan language;;phi;Philippine;;;;Latn;;
224;alk;Alak;Alak language;;mkh;Mon-Khmer;;;;Latn;;
225;all;Allar;Allar language;;dra;Dravidian;;;;Mlym;Chatan;
226;alm;Amblong;Amblong language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
227;alo;Larike-Wakasihu;Larike-Wakasihu language;;poz-cma;Central Maluku;;;;Latn;;
228;alp;Alune;Alune language;;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
229;alq;Algonquin;Algonquin language;;alg;Algonquian;;;;Latn;;
230;alr;Alutor;Alutor language;;qfa-cka;Chukotko-Kamchatkan;;;;Cyrl;;
231;alt;Southern Altai;Southern Altai language;;trk-sib;Siberian Turkic;;;;Cyrl;;
232;alu;'Are'are;'Are'are language;;poz-sls;Southeast Solomonic;;;;Latn;;
233;alv-ama;Amasi;Amasi language;;nic-grs;Southwest Grassfields;;autodetect;exceptional;Latn;;
234;alv-bgu;Baïnounk Gubëeher;Baïnounk Gubëeher language;;alv-bny;Banyum;;;exceptional;Latn;Gubëeher,Nyun Gubëeher,Nun Gubëeher;
235;alv-bua-pro;Proto-Bua;Proto-Bua language;reconstructed;alv-bua;Bua;;;exceptional;Latn;;
236;alv-cng-pro;Proto-Cangin;Proto-Cangin language;reconstructed;alv-cng;Cangin;;;exceptional;Latn;;
237;alv-edo-pro;Proto-Edoid;Proto-Edoid language;reconstructed;alv-edo;Edoid;;;exceptional;Latn;;
238;alv-fli-pro;Proto-Fali;Proto-Fali language;reconstructed;alv-fli;Fali;;;exceptional;Latn;;
239;alv-gbe-pro;Proto-Gbe;Proto-Gbe language;reconstructed;alv-gbe;Gbe;;;exceptional;Latn;;
240;alv-gng-pro;Proto-Guang;Proto-Guang language;reconstructed;alv-gng;Guang;;;exceptional;Latn;;
